scenario_id,arm,checkpoint,G,S,outcome,reference_feasible,pool_size,oracle_witness_correct,oracle_witness_outcome,any_candidate_selected_plan_correct,candidate_count,parsed,logical_tokens,logical_calls,generation_tokens,validation_tokens,judgments,final_plan_id,oracle_plan_id
sampling-00,A,2,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,2,4792,2,4792,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,A,4,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,4,9584,4,9584,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,A,8,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,8,19156,8,19156,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,B,2,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,2,4792,2,4792,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,B,4,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,4,9635,4,9635,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,B,8,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,8,19344,8,19344,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,C,2,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,2,4792,2,4792,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,C,4,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,4,11638,4,11638,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-00,C,8,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,8,25389,8,25389,0,0,100f8a54cc5f997b0ff6,100f8a54cc5f997b0ff6
sampling-01,A,2,False,False,incorrect_plan,True,128,False,incorrect_plan,False,1,2,4610,2,4610,0,0,da693b4b5e334788dbb1,da693b4b5e334788dbb1
sampling-01,A,4,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,2,4,9818,5,9214,604,1,7d36ae93bd542cb03d9b,7d36ae93bd542cb03d9b
sampling-01,A,8,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,2,8,19038,9,18434,604,1,7d36ae93bd542cb03d9b,7d36ae93bd542cb03d9b
sampling-01,B,2,False,False,incorrect_plan,True,128,False,incorrect_plan,False,1,2,4610,2,4610,0,0,da693b4b5e334788dbb1,da693b4b5e334788dbb1
sampling-01,B,4,False,False,incorrect_plan,True,128,False,incorrect_plan,False,1,4,9265,4,9265,0,0,da693b4b5e334788dbb1,da693b4b5e334788dbb1
sampling-01,B,8,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,2,8,19292,9,18688,604,1,7d36ae93bd542cb03d9b,7d36ae93bd542cb03d9b
sampling-01,C,2,False,False,incorrect_plan,True,128,False,incorrect_plan,False,1,2,4610,2,4610,0,0,da693b4b5e334788dbb1,da693b4b5e334788dbb1
sampling-01,C,4,False,False,incorrect_plan,True,128,False,incorrect_plan,False,1,4,10710,4,10710,0,0,da693b4b5e334788dbb1,da693b4b5e334788dbb1
sampling-01,C,8,False,False,incorrect_plan,True,128,False,incorrect_plan,False,1,8,22981,8,22981,0,0,da693b4b5e334788dbb1,da693b4b5e334788dbb1
sampling-02,A,2,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,2,4770,2,4770,0,0,026bb5310beaccf1c713,026bb5310beaccf1c713
sampling-02,A,4,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,4,9540,4,9540,0,0,026bb5310beaccf1c713,026bb5310beaccf1c713
sampling-02,A,8,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,8,19078,8,19078,0,0,026bb5310beaccf1c713,026bb5310beaccf1c713
sampling-02,B,2,True,True,correct_feasible_plan,True,128,True,correct_feasible_plan,True,1,2,4770,2,4770,0,0,026bb5310beaccf1c713,026bb5310beaccf1c713
